Topic,BARTScore
49ers,-0.5833195447921753
Amazon,-0.880545973777771
Beyonce,-0.6615360379219055
Chicago,-0.7758323550224304
Christmas,-0.6827373504638672
Eagles,-0.4908399283885956
Facebook,-0.6387919783592224
Flu,-0.6786394715309143
Graduation,-0.6653100848197937
Grammys,-0.44301629066467285
Iphone,-0.6087436079978943
Kobe,-0.7083550095558167
McDonalds,-0.7061956524848938
NBA,-0.862890899181366
NYC,-0.6508723497390747
Netflix,-0.646253764629364
Obama,-0.6861055493354797
Paris,-0.5193634033203125
Patriots,-0.45228111743927
Seahawks,-0.4860682785511017
Superbowl,-0.45273277163505554
Thanksgiving,-0.8853384852409363
VMA,-0.6981551051139832
WWE,-0.644884467124939
Xbox,-0.5150130987167358
