Topic,Representation Gap
49ers,0.0
Amazon,0.33333333333333326
Beyonce,0.0
Chicago,0.6666666666666667
Christmas,0.33333333333333326
Eagles,0.6666666666666667
Facebook,0.6666666666666667
Flu,0.33333333333333326
Graduation,0.0
Grammys,0.33333333333333326
Iphone,0.33333333333333326
Kobe,0.33333333333333326
McDonalds,0.0
NBA,0.33333333333333326
NYC,0.33333333333333326
Netflix,0.0
Obama,0.0
Paris,0.0
Patriots,0.33333333333333326
Seahawks,0.33333333333333326
Superbowl,0.6666666666666667
Thanksgiving,0.0
VMA,0.0
WWE,0.0
Xbox,0.0
