Topic,SUPERT
49ers,0.7181306560232962
Amazon,0.522523756948614
Beyonce,0.6887469857781325
Chicago,0.6988090941497642
Christmas,0.6647589254803683
Eagles,0.6551856821084837
Facebook,0.7509020344113413
Flu,0.5662907574655973
Graduation,0.6303932165816544
Grammys,0.7363613868003351
Iphone,0.7187735476279945
Kobe,0.6199172483745252
McDonalds,0.7043942392421321
NBA,0.6957230126765334
NYC,0.6384638688745963
Netflix,0.7303089737160319
Obama,0.5971631086443391
Paris,0.6129292355549857
Patriots,0.6618357917884176
Seahawks,0.6651429492643517
Superbowl,0.6428864230439411
Thanksgiving,0.699539041444347
VMA,0.6636867502439655
WWE,0.7274503407748287
Xbox,0.7176061213235455
