Topic,SQA
49ers,0.09580306698950769
Amazon,0.13247863247863248
Beyonce,0.09409446995311138
Chicago,0.0680474388230274
Christmas,0.09530796148443206
Eagles,0.04433497536945812
Facebook,0.034482758620689655
Flu,0.025157232704402514
Graduation,0.04724880382775119
Grammys,0.017391304347826087
Iphone,0.018119068162208797
Kobe,0.12897428890184653
McDonalds,0.00909090909090909
NBA,0.05937184278033341
NYC,0.07237790549370252
Netflix,0.10913216992497471
Obama,0.04104566354843825
Paris,0.04773921104130188
Patriots,0.1319802851103445
Seahawks,0.08269193315294761
Superbowl,0.024390243902439025
Thanksgiving,0.10107655502392345
VMA,0.052507374631268436
WWE,0.07076580038830693
Xbox,0.04516129032258064
