Topic,SQA
49ers,0.08509849938421367
Amazon,0.12199826317473375
Beyonce,0.10448899513617338
Chicago,0.06541149068322982
Christmas,0.05648775403856175
Eagles,0.07287217145393911
Facebook,0.08243243243243242
Flu,0.08026355196166517
Graduation,0.038154699965313905
Grammys,0.018506493506493506
Iphone,0.01583710407239819
Kobe,0.05553087716123721
McDonalds,0.042648279850660796
NBA,0.03723997970573313
NYC,0.085369484971431
Netflix,0.14586894586894586
Obama,0.09394078724960157
Paris,0.06895539906103286
Patriots,0.07939447383891828
Seahawks,0.04141994992268328
Superbowl,0.03434343434343434
Thanksgiving,0.11919396264237575
VMA,0.019801980198019802
WWE,0.07382158374256707
Xbox,0.05769230769230769
