Topic,SUPERT
49ers,0.5671353634557657
Amazon,0.5006745093822167
Beyonce,0.5427712076423098
Chicago,0.4861662253983759
Christmas,0.5875321333805085
Eagles,0.49058228108380036
Facebook,0.5507058071977602
Flu,0.5691252819201099
Graduation,0.5861686755002317
Grammys,0.4807211612201511
Iphone,0.5289067075436666
Kobe,0.6143012078886608
McDonalds,0.6202188393897968
NBA,0.6170848031372436
NYC,0.45271040203005647
Netflix,0.5776102788779299
Obama,0.5650875978799403
Paris,0.5306830761739408
Patriots,0.5050276714070483
Seahawks,0.5210903396808373
Superbowl,0.49285871276382737
Thanksgiving,0.529752134701508
VMA,0.4086832847634981
WWE,0.6087484604025377
Xbox,0.6776050054810859
