Topic,coherence,consistency,fluency,overall
49ers,0.40009697200749134,0.5614570029502948,0.7303728168641829,0.5639755972739896
Amazon,0.05121838792369096,0.5313399459206827,0.7516295508288394,0.444729294891071
Beyonce,0.1850893655625094,0.44626049053523037,0.6862060768822431,0.43918531099332764
Chicago,0.11263383425278442,0.6000253887861434,0.8667374408101747,0.5264655546163675
Christmas,0.7823045087877217,0.5308665944463106,0.7730343475675006,0.6954018169338442
Eagles,0.4925625852899322,0.3744651541305403,0.5280023893992154,0.465010042939896
Facebook,0.05279169707714687,0.535348904743365,0.7063065403688839,0.43148238072979855
Flu,0.4343346338402322,0.26790642681731386,0.6603708197050774,0.4542039601208745
Graduation,0.28273737651444203,0.19845472156807806,0.3972898061859157,0.29282730142281194
Grammys,0.07081502520704544,0.47662981445631525,0.694947257125361,0.4141306989295739
Iphone,0.10203360349444764,0.3169721362240977,0.5009641778960754,0.30665663920487357
Kobe,0.15834406365573306,0.24161408764126552,0.5422680955720985,0.3140754156230324
McDonalds,0.014317394118724716,0.08626277276267681,0.27507501363433723,0.12521839350524624
NBA,0.006919732119392175,0.29043978332333864,0.4962189162024971,0.2645261438817426
NYC,0.4629048086622398,0.44003016610342605,0.5908800092498964,0.49793832800518745
Netflix,0.7735921052119838,0.4676379333779741,0.709556318163433,0.650262118917797
Obama,0.0838682861968657,0.22505047295147382,0.3172360925144624,0.20871828388760064
Paris,0.554391994247852,0.48238609588584624,0.6562626432320517,0.5643469111219167
Patriots,0.35859730516097355,0.4084465775161017,0.6491433913129735,0.4720624246633496
Seahawks,0.4784580252876672,0.4010792195905829,0.7448311496298888,0.541456131502713
Superbowl,0.06142753181085562,0.4105351909141639,0.6651672174064481,0.37904331337715585
Thanksgiving,0.03220518034409774,0.11284098418704913,0.33032684394618567,0.1584576694924442
VMA,0.4237180623882215,0.3523061105432572,0.7733358106650197,0.5164533278654995
WWE,0.02803427467327504,0.03552641713950743,0.05313964674783149,0.038900112853537984
Xbox,0.13069962078673536,0.42755334513530896,0.519537961680186,0.3592636425340768
