Topic,Representation Gap
49ers,0.3333333333333333
Amazon,0.3333333333333333
Beyonce,0.3333333333333333
Chicago,0.3333333333333333
Christmas,0.3333333333333333
Eagles,0.3333333333333333
Facebook,0.3333333333333333
Flu,0.0
Graduation,0.0
Grammys,0.6666666666666667
Iphone,0.0
Kobe,0.3333333333333333
McDonalds,0.3333333333333333
NBA,0.3333333333333333
NYC,0.3333333333333333
Netflix,0.6666666666666667
Obama,0.0
Paris,0.3333333333333333
Patriots,0.6666666666666667
Seahawks,0.3333333333333333
Superbowl,0.3333333333333333
Thanksgiving,0.3333333333333333
VMA,0.6666666666666667
WWE,0.0
Xbox,0.0
