Topic,Representation Gap
49ers,0.6666666666666667
Amazon,0.0
Beyonce,0.0
Chicago,0.6666666666666667
Christmas,0.3333333333333333
Eagles,0.0
Facebook,0.3333333333333333
Flu,0.3333333333333333
Graduation,0.3333333333333333
Grammys,0.19999999999999996
Iphone,0.3333333333333333
Kobe,0.0
McDonalds,0.6666666666666667
NBA,0.6666666666666667
NYC,0.3333333333333333
Netflix,0.3333333333333333
Obama,0.6666666666666667
Paris,0.3333333333333333
Patriots,0.0
Seahawks,0.0
Superbowl,0.0
Thanksgiving,0.0
VMA,0.6666666666666667
WWE,0.0
Xbox,0.0
