Topic,BARTScore
49ers,-1.0491527318954468
Amazon,-1.370822548866272
Beyonce,-3.1563501358032227
Chicago,-0.7409404516220093
Christmas,-1.8827153444290161
Eagles,-0.5403830409049988
Facebook,-0.9673287868499756
Flu,-0.9395999908447266
Graduation,-0.638835072517395
Grammys,-1.5624336004257202
Iphone,-1.7186559438705444
Kobe,-0.8753394484519958
McDonalds,-2.2610392570495605
NBA,-0.6502283811569214
NYC,-1.984244704246521
Netflix,-3.1943044662475586
Obama,-0.9953134655952454
Paris,-0.5818585753440857
Patriots,-2.350846767425537
Seahawks,-0.8847614526748657
Superbowl,-3.1956937313079834
Thanksgiving,-2.017047882080078
VMA,-0.7284450531005859
WWE,-2.767565965652466
Xbox,-1.46812105178833
