Topic,SQA
49ers,0.06485908360071681
Amazon,0.1693301392955372
Beyonce,0.09533863228763102
Chicago,0.0804652327058379
Christmas,0.11200219027327689
Eagles,0.10796726842875078
Facebook,0.08864864864864865
Flu,0.04117063492063492
Graduation,0.016129032258064516
Grammys,0.00909090909090909
Iphone,0.023190108457383556
Kobe,0.09091309756211892
McDonalds,0.04832451499118166
NBA,0.02664618835020646
NYC,0.13711771134356604
Netflix,0.04155856947746531
Obama,0.0739779241082003
Paris,0.0545250224752772
Patriots,0.03685903427833127
Seahawks,0.03544591868383972
Superbowl,0.015712682379349044
Thanksgiving,0.07729468599033817
VMA,0.029956841838029956
WWE,0.10592253865264617
Xbox,0.0232383808095952
