Topic,BLANC-help,BLANC-tune
49ers,0.1843137254901961,0.12156862745098039
Amazon,0.13438735177865613,0.1541501976284585
Beyonce,0.1318267419962335,0.05084745762711865
Chicago,0.12937062937062938,0.13111888111888112
Christmas,0.1821705426356589,0.18023255813953487
Eagles,0.17680608365019013,0.1444866920152091
Facebook,0.12260536398467432,0.11302681992337164
Flu,0.10119047619047619,0.0873015873015873
Graduation,0.11553030303030302,0.11931818181818182
Grammys,0.1746031746031746,0.11706349206349206
Iphone,0.14638783269961977,0.15779467680608364
Kobe,0.15693430656934307,0.12408759124087591
McDonalds,0.17835671342685372,0.1743486973947896
NBA,0.10707803992740472,0.05263157894736842
NYC,0.12368972746331237,0.09224318658280922
Netflix,0.18003913894324852,0.15851272015655576
Obama,0.132486388384755,0.15789473684210525
Paris,0.11052631578947368,0.1456140350877193
Patriots,0.16221374045801526,0.12786259541984732
Seahawks,0.1350844277673546,0.1425891181988743
Superbowl,0.1348747591522158,0.14065510597302505
Thanksgiving,0.09659090909090909,0.125
VMA,0.08478260869565217,0.06304347826086956
WWE,0.09771309771309772,0.04573804573804574
Xbox,0.10536779324055666,0.12127236580516898
