Topic,SUPERT
49ers,0.543231501775896
Amazon,0.5339407282188352
Beyonce,0.5266758599965233
Chicago,0.6023802286075737
Christmas,0.6358033188638148
Eagles,0.5653496624566184
Facebook,0.672378603564836
Flu,0.4935051379977693
Graduation,0.6224216072721399
Grammys,0.5066412183862761
Iphone,0.5699557472237294
Kobe,0.6234729838674811
McDonalds,0.6215429545648438
NBA,0.560237078959434
NYC,0.4768616604596146
Netflix,0.5672256462195007
Obama,0.4652787086415553
Paris,0.467810055627282
Patriots,0.5177568953044521
Seahawks,0.506907931117557
Superbowl,0.48942940931458306
Thanksgiving,0.4961642543311018
VMA,0.45534688477950175
WWE,0.5744947549944766
Xbox,0.5920231578939594
