Topic,BARTScore
49ers,-1.8888665437698364
Amazon,-0.9288391470909119
Beyonce,-2.729214906692505
Chicago,-1.0092530250549316
Christmas,-2.285761594772339
Eagles,-1.7314858436584473
Facebook,-1.9102078676223755
Flu,-5.047735214233398
Graduation,-1.7966258525848389
Grammys,-1.997305989265442
Iphone,-1.8490209579467773
Kobe,-2.428896427154541
McDonalds,-2.761186122894287
NBA,-0.8949762582778931
NYC,-2.0367281436920166
Netflix,-1.943092942237854
Obama,-0.8486548066139221
Paris,-1.2587251663208008
Patriots,-2.60209584236145
Seahawks,-0.61649489402771
Superbowl,-2.9380745887756348
Thanksgiving,-1.5414228439331055
VMA,-3.881859064102173
WWE,-2.2087271213531494
Xbox,-0.9607330560684204
