Topic,SUPERT
49ers,0.48000581333058107
Amazon,0.4805735088706794
Beyonce,0.4765898105358481
Chicago,0.4502984718004044
Christmas,0.5938692428621571
Eagles,0.4582099239084259
Facebook,0.6065782042753839
Flu,0.4206844914443837
Graduation,0.5534119823646649
Grammys,0.42582070101249136
Iphone,0.5554853483741549
Kobe,0.5313068541430676
McDonalds,0.56038203968584
NBA,0.5778376542580479
NYC,0.4129585064716363
Netflix,0.5327981323636257
Obama,0.5401535571147804
Paris,0.5805917115065011
Patriots,0.4622887650496452
Seahawks,0.5328879343512115
Superbowl,0.4477751016448144
Thanksgiving,0.5746775465316699
VMA,0.42350209134133243
WWE,0.5966032373318738
Xbox,0.6378503322384675
