Topic,BARTScore
49ers,-1.2897130250930786
Amazon,-1.9457412958145142
Beyonce,-1.998557686805725
Chicago,-2.7117702960968018
Christmas,-1.1410548686981201
Eagles,-0.8843308687210083
Facebook,-1.673740029335022
Flu,-1.0463393926620483
Graduation,-1.2835296392440796
Grammys,-0.9923994541168213
Iphone,-1.2125147581100464
Kobe,-1.2544399499893188
McDonalds,-2.4195895195007324
NBA,-1.5398436784744263
NYC,-1.1330976486206055
Netflix,-2.20076584815979
Obama,-2.10136079788208
Paris,-0.8835352063179016
Patriots,-1.4778114557266235
Seahawks,-0.5262499451637268
Superbowl,-3.031297206878662
Thanksgiving,-0.9511975049972534
VMA,-1.4138460159301758
WWE,-3.592822313308716
Xbox,-1.2657300233840942
