Topic,BARTScore
49ers,-1.5925402641296387
Amazon,-1.4461020231246948
Beyonce,-1.67629075050354
Chicago,-1.6762046813964844
Christmas,-1.2905446290969849
Eagles,-2.392425537109375
Facebook,-1.6406491994857788
Flu,-1.4708223342895508
Graduation,-2.6473400592803955
Grammys,-2.2258994579315186
Iphone,-1.3939275741577148
Kobe,-0.8723593950271606
McDonalds,-1.3230071067810059
NBA,-1.2681050300598145
NYC,-1.2110532522201538
Netflix,-1.78475022315979
Obama,-1.179527759552002
Paris,-2.3164472579956055
Patriots,-1.6777125597000122
Seahawks,-2.2172696590423584
Superbowl,-0.685900866985321
Thanksgiving,-1.02554190158844
VMA,-2.08150053024292
WWE,-3.013762950897217
Xbox,-2.3821041584014893
