Topic,coherence,consistency,fluency,overall
49ers,0.21280215417264256,0.26481144278008517,0.8372125543215719,0.43827538375809993
Amazon,0.061959103298767075,0.32299983492298023,0.6993712610444156,0.36144339975538764
Beyonce,0.2514267999614235,0.34890932276445286,0.6458166837807279,0.4153842688355347
Chicago,0.13899516218694577,0.30546944251787794,0.5197879524948266,0.3214175190665501
Christmas,0.45528215313052467,0.5527933539842173,0.7814924120074451,0.5965226397073957
Eagles,0.06513886047719251,0.3752325850025487,0.5160004767771533,0.3187906407522982
Facebook,0.07185657804495794,0.4125679432497769,0.6170348331542498,0.3671531181496615
Flu,0.4861518855831871,0.3203113222523979,0.7459970210790653,0.5174867429715501
Graduation,0.02172272750309461,0.4088008686584237,0.5666242061877943,0.33238260078310417
Grammys,0.004087279594009761,0.2262632899271996,0.35476397175341495,0.19503818042487478
Iphone,0.561541555297364,0.5279357823708678,0.702490202443045,0.5973225133704256
Kobe,0.2660511086395435,0.41078996009282404,0.5936765128095234,0.42350586051396366
McDonalds,0.8787128537671095,0.6656125154036581,0.931331950203808,0.8252191064581919
NBA,0.5388565165092977,0.28381294208959656,0.5546692284122846,0.459112895670393
NYC,0.3673054957196186,0.3559979145935386,0.5988600260916569,0.4407211454682714
Netflix,0.11534549304591668,0.2776711100113916,0.6891270202080804,0.3607145410884629
Obama,0.002433270346309592,0.3532917659011065,0.6041557625714028,0.31996026627293966
Paris,0.2736028511479865,0.579905118505995,0.7601662289005319,0.5378913995181711
Patriots,0.4875277659205012,0.4365822656817904,0.7561523744169314,0.5600874686730744
Seahawks,0.12124035634759407,0.5460531258893875,0.8676116179818868,0.5116350334062895
Superbowl,0.03838769906335384,0.41202010777116893,0.49775866481426206,0.3160554905495949
Thanksgiving,0.02173338088328085,0.1077640725756594,0.06238119918050878,0.06395955087981635
VMA,0.007058165400847096,0.5343482615628932,0.8098131293417018,0.4504065187684807
WWE,0.369454761419974,0.30217164308228095,0.6912215733605742,0.45428265928760975
Xbox,0.337588708240879,0.3222439516056438,0.6856746146157195,0.4485024248207474
