Topic,BARTScore
49ers,-1.8100829124450684
Amazon,-1.7275294065475464
Beyonce,-1.1428582668304443
Chicago,-1.2161227464675903
Christmas,-1.2840206623077393
Eagles,-1.8476802110671997
Facebook,-1.3757561445236206
Flu,-2.032787799835205
Graduation,-1.2980931997299194
Grammys,-1.2126576900482178
Iphone,-3.0282647609710693
Kobe,-1.5349829196929932
McDonalds,-1.4192477464675903
NBA,-3.4503204822540283
NYC,-2.4457497596740723
Netflix,-1.4445284605026245
Obama,-0.8714313507080078
Paris,-1.3488637208938599
Patriots,-1.3883605003356934
Seahawks,-0.7645080089569092
Superbowl,-1.9753981828689575
Thanksgiving,-1.45668625831604
VMA,-3.413330316543579
WWE,-2.1420769691467285
Xbox,-1.8013224601745605
