Topic,BARTScore
49ers,-1.8818172216415405
Amazon,-2.837249994277954
Beyonce,-0.7642973065376282
Chicago,-1.4411425590515137
Christmas,-1.5233700275421143
Eagles,-0.9100465774536133
Facebook,-2.517484426498413
Flu,-2.2920422554016113
Graduation,-3.0394463539123535
Grammys,-2.0740456581115723
Iphone,-0.7950848340988159
Kobe,-1.7588118314743042
McDonalds,-2.4662528038024902
NBA,-1.3002793788909912
NYC,-1.0131531953811646
Netflix,-0.932666540145874
Obama,-0.8170305490493774
Paris,-1.8087894916534424
Patriots,-1.5233161449432373
Seahawks,-1.0408469438552856
Superbowl,-1.7488601207733154
Thanksgiving,-1.7904447317123413
VMA,-2.3911526203155518
WWE,-2.68923282623291
Xbox,-0.6880967020988464
