Topic,Representation Gap
49ers,0.6666666666666667
Amazon,0.6666666666666667
Beyonce,0.0
Chicago,0.33333333333333326
Christmas,0.0
Eagles,0.6666666666666667
Facebook,0.0
Flu,0.33333333333333326
Graduation,0.33333333333333326
Grammys,0.6666666666666667
Iphone,0.33333333333333326
Kobe,1.0
McDonalds,0.6666666666666667
NBA,0.0
NYC,0.33333333333333326
Netflix,0.33333333333333326
Obama,0.0
Paris,0.33333333333333326
Patriots,1.0
Seahawks,0.6666666666666667
Superbowl,0.0
Thanksgiving,0.33333333333333326
VMA,0.33333333333333326
WWE,0.6666666666666667
Xbox,0.33333333333333326
