Topic,SQA
49ers,0.1131169791637314
Amazon,0.10515069725596042
Beyonce,0.20276800976800985
Chicago,0.10253429697874142
Christmas,0.07027930402930403
Eagles,0.11178738926524233
Facebook,0.0
Flu,0.023809523809523808
Graduation,0.08113207547169811
Grammys,0.04268867924528302
Iphone,0.03014285714285714
Kobe,0.045141144841492106
McDonalds,0.0391812865497076
NBA,0.05021645021645022
NYC,0.03421052631578947
Netflix,0.06763996723996724
Obama,0.09574327311702838
Paris,0.08325267898405708
Patriots,0.05848836750009874
Seahawks,0.08665161466885606
Superbowl,0.060556418584945634
Thanksgiving,0.07631578947368421
VMA,0.035416666666666666
WWE,0.05970837208074635
Xbox,0.09401709401709402
