Topic,BARTScore
49ers,-0.7810941934585571
Amazon,-0.8206961154937744
Beyonce,-0.6715872883796692
Chicago,-0.7545756101608276
Christmas,-0.5880798101425171
Eagles,-0.5360240936279297
Facebook,-0.597744882106781
Flu,-0.6697564721107483
Graduation,-0.5577346086502075
Grammys,-0.5756931304931641
Iphone,-0.6110621690750122
Kobe,-0.7221097946166992
McDonalds,-0.6427162885665894
NBA,-0.6725469827651978
NYC,-0.595917284488678
Netflix,-0.6695868968963623
Obama,-0.950826108455658
Paris,-0.6337707042694092
Patriots,-0.7428576350212097
Seahawks,-0.48393282294273376
Superbowl,-0.5685144066810608
Thanksgiving,-0.5148402452468872
VMA,-0.6288367509841919
WWE,-0.3447779715061188
Xbox,-0.5133596062660217
