Topic,SUPERT
49ers,0.4921365071565226
Amazon,0.5707658546223119
Beyonce,0.4967329626532271
Chicago,0.4949184408555571
Christmas,0.5959741818703447
Eagles,0.4866095631072395
Facebook,0.5952970123302262
Flu,0.4872145515054592
Graduation,0.5785289925777305
Grammys,0.5778793485879602
Iphone,0.5841774801326962
Kobe,0.6705585746899905
McDonalds,0.5643801026770753
NBA,0.5681163969460096
NYC,0.5235719648197531
Netflix,0.5640621486353887
Obama,0.5565198468938868
Paris,0.5371272191031237
Patriots,0.6157103856299625
Seahawks,0.5208034461310517
Superbowl,0.46568964851631184
Thanksgiving,0.5698941388797264
VMA,0.47163351953055566
WWE,0.6761459469410839
Xbox,0.624625216277126
