Topic,coherence,consistency,fluency,overall
49ers,0.3118633951092579,0.19754852185907643,0.36350750040925844,0.29097313912586426
Amazon,0.013731202200443915,0.24792367832429754,0.4672615005244761,0.2429721270164059
Beyonce,0.054806386965075116,0.41407763426308297,0.6933273994887901,0.38740380690564935
Chicago,0.44981948533202837,0.36148233449696227,0.6837015768235161,0.49833446555083555
Christmas,0.08805390168701756,0.21949367946044737,0.38675989547940304,0.23143582554228934
Eagles,0.2857131872769278,0.4932532148711141,0.6539636808108445,0.4776433609862955
Facebook,0.043318357859121366,0.28634889262999724,0.34664542674470883,0.2254375590779425
Flu,0.13148310050338097,0.12582344139947638,0.08049438031907345,0.11260030740731027
Graduation,0.39581996243716344,0.36343945012098294,0.5641802219199061,0.4411465448260175
Grammys,0.06861590738649112,0.30237749391263397,0.7167584070465168,0.36258393611521395
Iphone,0.5412961043887393,0.5080043369319658,0.7834923505436593,0.6109309306214548
Kobe,0.14837458160888092,0.15167565275240383,0.443217140606365,0.24775579165588324
McDonalds,0.017894185077633885,0.5486041802929363,0.7498723365813719,0.43879023398398065
NBA,0.4643666296705929,0.45925727993473103,0.7527035462317494,0.5587758186123578
NYC,0.04682396709275597,0.4220723956667617,0.44657931717871413,0.3051585599794106
Netflix,0.5339760308389421,0.4077416014281074,0.6055898107795954,0.5157691476822149
Obama,0.5974398452077885,0.45984164328527755,0.5507962602209929,0.5360259162380197
Paris,0.3365482116107079,0.2792617920395358,0.5611644053813096,0.3923248030105178
Patriots,0.13136397990591928,0.5035746317776201,0.6569780066351555,0.4306388727728983
Seahawks,0.08869617104877107,0.2432322208937112,0.3882326201946235,0.2400536707123686
Superbowl,0.09114699766897338,0.3147978873776956,0.41197992699453256,0.27264160401373383
Thanksgiving,0.4598183471955158,0.35475915122806023,0.5500511754263006,0.4548762246166255
VMA,0.27753964399271497,0.46108110588325846,0.5369259074662176,0.4251822191140637
WWE,0.16862125204985667,0.3881747491848005,0.6220398101592226,0.3929452704646266
Xbox,0.3654325914298457,0.474552508200321,0.6554525571364902,0.49847921892221897
