Topic,BARTScore
49ers,-1.3063007593154907
Amazon,-0.8926209211349487
Beyonce,-2.75421142578125
Chicago,-2.754390239715576
Christmas,-0.9663819074630737
Eagles,-0.7328351736068726
Facebook,-2.2015085220336914
Flu,-0.9494073987007141
Graduation,-3.0280849933624268
Grammys,-1.4697531461715698
Iphone,-1.9578107595443726
Kobe,-0.7830365300178528
McDonalds,-1.2997251749038696
NBA,-0.8294147253036499
NYC,-1.9465689659118652
Netflix,-1.4227625131607056
Obama,-1.1018050909042358
Paris,-3.031622886657715
Patriots,-0.6922464966773987
Seahawks,-1.2887089252471924
Superbowl,-1.9437023401260376
Thanksgiving,-1.7858664989471436
VMA,-0.688278317451477
WWE,-1.4489381313323975
Xbox,-0.7410548329353333
