Topic,SQA
49ers,0.15973369388547962
Amazon,0.11692965154503615
Beyonce,0.10233570351217408
Chicago,0.10863907945475743
Christmas,0.061842590569902586
Eagles,0.014035087719298244
Facebook,0.017857142857142856
Flu,0.031746031746031744
Graduation,0.0660377358490566
Grammys,0.01320754716981132
Iphone,0.0013793103448275859
Kobe,0.12184660052247132
McDonalds,0.017760450508988522
NBA,0.08286342961781559
NYC,0.021875936988763237
Netflix,0.19032169152245879
Obama,0.08760262725779967
Paris,0.059306146257900656
Patriots,0.06516936671575846
Seahawks,0.0784233312493348
Superbowl,0.06224396607958251
Thanksgiving,0.07551150603782181
VMA,0.004166666666666667
WWE,0.07769703042871759
Xbox,0.04871794871794872
