Topic,BARTScore
49ers,-2.0415024757385254
Amazon,-2.1424248218536377
Beyonce,-0.9485344886779785
Chicago,-1.2127115726470947
Christmas,-1.0420403480529785
Eagles,-1.3661601543426514
Facebook,-1.2263734340667725
Flu,-1.193558931350708
Graduation,-0.7339563965797424
Grammys,-1.9860178232192993
Iphone,-1.1411317586898804
Kobe,-0.7199192643165588
McDonalds,-2.286653518676758
NBA,-1.3914176225662231
NYC,-1.7668243646621704
Netflix,-1.0389935970306396
Obama,-1.7124842405319214
Paris,-2.9798648357391357
Patriots,-2.3984341621398926
Seahawks,-1.2724940776824951
Superbowl,-1.5909117460250854
Thanksgiving,-2.2096807956695557
VMA,-3.635331392288208
WWE,-1.4656568765640259
Xbox,-2.1777284145355225
