Topic,SQA
49ers,0.05766686676603088
Amazon,0.11176470588235295
Beyonce,0.13435077163890724
Chicago,0.08868769470404986
Christmas,0.05635313531353136
Eagles,0.0931143445032334
Facebook,0.02702702702702703
Flu,0.08815192743764172
Graduation,0.08481101005474492
Grammys,0.013636363636363636
Iphone,0.036813186813186814
Kobe,0.06636670416197975
McDonalds,0.027777777777777776
NBA,0.03758573388203018
NYC,0.05203222253200138
Netflix,0.09778456661047755
Obama,0.15268911704379723
Paris,0.08195220963578972
Patriots,0.04315396023729357
Seahawks,0.08602150537634409
Superbowl,0.027581941867656154
Thanksgiving,0.014492753623188406
VMA,0.032519631273472176
WWE,0.04259025143980896
Xbox,0.05125635234330885
