Topic,Representation Gap
49ers,0.3333333333333333
Amazon,0.3333333333333333
Beyonce,0.3333333333333333
Chicago,0.3333333333333333
Christmas,0.3333333333333333
Eagles,0.3333333333333333
Facebook,0.3333333333333333
Flu,0.0
Graduation,0.3333333333333333
Grammys,0.0
Iphone,0.3333333333333333
Kobe,0.3333333333333333
McDonalds,0.0
NBA,0.6666666666666667
NYC,0.0
Netflix,0.6666666666666667
Obama,0.3333333333333333
Paris,0.6666666666666667
Patriots,0.3333333333333333
Seahawks,0.0
Superbowl,0.0
Thanksgiving,0.3333333333333333
VMA,0.0
WWE,0.3333333333333333
Xbox,0.3333333333333333
