Topic,SQA
49ers,0.10708069310794076
Amazon,0.07235836326964581
Beyonce,0.0661822328645427
Chicago,0.031380527045319684
Christmas,0.04072656253479599
Eagles,0.06396957768146039
Facebook,0.02702702702702703
Flu,0.040634920634920635
Graduation,0.09788350661215936
Grammys,0.01818181818181818
Iphone,0.046153846153846156
Kobe,0.08039836744938746
McDonalds,0.03827160493827161
NBA,0.029820971015939574
NYC,0.052397429560059314
Netflix,0.0948889204491703
Obama,0.08961857938745812
Paris,0.06411409246957785
Patriots,0.1109670781893004
Seahawks,0.08974933142015937
Superbowl,0.015151515151515152
Thanksgiving,0.0782608695652174
VMA,0.02436243624362436
WWE,0.07297605812129421
Xbox,0.021739130434782608
