Topic,BARTScore
49ers,-1.1809865236282349
Amazon,-1.6296250820159912
Beyonce,-0.7253705859184265
Chicago,-2.064925193786621
Christmas,-1.4392105340957642
Eagles,-0.7752676606178284
Facebook,-1.0559126138687134
Flu,-1.3235504627227783
Graduation,-0.8388789892196655
Grammys,-0.8327366709709167
Iphone,-2.41560435295105
Kobe,-1.9357126951217651
McDonalds,-2.5678913593292236
NBA,-0.6143921613693237
NYC,-1.6113970279693604
Netflix,-1.284256100654602
Obama,-0.6408155560493469
Paris,-3.1426024436950684
Patriots,-0.7623777389526367
Seahawks,-1.8568934202194214
Superbowl,-2.2466564178466797
Thanksgiving,-1.4373481273651123
VMA,-2.4314026832580566
WWE,-1.658900499343872
Xbox,-2.1543078422546387
