Topic,SUPERT
49ers,0.4977680020505128
Amazon,0.5486634887148399
Beyonce,0.6142212866070248
Chicago,0.5092861123668402
Christmas,0.5656772917573454
Eagles,0.5719260616183135
Facebook,0.6406389046377701
Flu,0.519941886762923
Graduation,0.5385871396836514
Grammys,0.48553592192232786
Iphone,0.48580867067946176
Kobe,0.6078365661214448
McDonalds,0.5944184426434845
NBA,0.6294776609538866
NYC,0.4555264489930137
Netflix,0.5853719037139331
Obama,0.5948070209581772
Paris,0.5953532595910985
Patriots,0.4739983703219511
Seahawks,0.6193848861126714
Superbowl,0.44776521024586174
Thanksgiving,0.526851798859507
VMA,0.42923989268493506
WWE,0.5172699289919719
Xbox,0.6217026458233502
