Topic,BARTScore
49ers,-2.556596040725708
Amazon,-2.9202611446380615
Beyonce,-1.6769027709960938
Chicago,-1.9378677606582642
Christmas,-0.8583101034164429
Eagles,-1.76581871509552
Facebook,-1.1811453104019165
Flu,-2.2315752506256104
Graduation,-2.1822214126586914
Grammys,-1.6544588804244995
Iphone,-1.452808141708374
Kobe,-1.305214762687683
McDonalds,-2.834242343902588
NBA,-3.3688533306121826
NYC,-1.9738203287124634
Netflix,-2.764533042907715
Obama,-3.1976776123046875
Paris,-1.0351004600524902
Patriots,-1.725700855255127
Seahawks,-0.7901862859725952
Superbowl,-2.3652403354644775
Thanksgiving,-3.3066859245300293
VMA,-2.7308602333068848
WWE,-2.001929759979248
Xbox,-3.7429494857788086
