Topic,BLANC-help,BLANC-tune
49ers,0.17254901960784313,0.1411764705882353
Amazon,0.13043478260869565,0.17984189723320157
Beyonce,0.15254237288135594,0.060263653483992465
Chicago,0.1486013986013986,0.13636363636363635
Christmas,0.17054263565891473,0.20930232558139536
Eagles,0.11406844106463879,0.12357414448669202
Facebook,0.10727969348659004,0.1053639846743295
Flu,0.10515873015873016,0.05952380952380952
Graduation,0.11931818181818182,0.13636363636363635
Grammys,0.16468253968253968,0.15476190476190477
Iphone,0.13878326996197718,0.09885931558935361
Kobe,0.12773722627737227,0.12043795620437957
McDonalds,0.11422845691382766,0.10220440881763528
NBA,0.1088929219600726,0.039927404718693285
NYC,0.10272536687631027,0.07127882599580712
Netflix,0.12524461839530332,0.13307240704500978
Obama,0.13430127041742287,0.13611615245009073
Paris,0.09649122807017543,0.08421052631578947
Patriots,0.1736641221374046,0.14694656488549618
Seahawks,0.14071294559099437,0.10881801125703565
Superbowl,0.15221579961464354,0.11753371868978806
Thanksgiving,0.11363636363636363,0.125
VMA,0.13260869565217392,0.07173913043478261
WWE,0.13513513513513514,0.04781704781704782
Xbox,0.13518886679920478,0.147117296222664
