Topic,BARTScore
49ers,-1.4842488765716553
Amazon,-1.2011423110961914
Beyonce,-0.9927958846092224
Chicago,-1.508626103401184
Christmas,-0.949924886226654
Eagles,-2.2662417888641357
Facebook,-0.7323790192604065
Flu,-2.4444997310638428
Graduation,-2.3264737129211426
Grammys,-1.4756078720092773
Iphone,-2.8771862983703613
Kobe,-1.4189808368682861
McDonalds,-0.8602654933929443
NBA,-2.38885760307312
NYC,-1.4736285209655762
Netflix,-1.7687113285064697
Obama,-3.0672850608825684
Paris,-3.7276856899261475
Patriots,-1.8075926303863525
Seahawks,-0.5637807846069336
Superbowl,-0.7119973301887512
Thanksgiving,-0.9338162541389465
VMA,-1.0753908157348633
WWE,-1.3677470684051514
Xbox,-2.653879165649414
