Topic,SQA
49ers,0.1118963255639852
Amazon,0.12350638806279926
Beyonce,0.05502428387352561
Chicago,0.0652077277131783
Christmas,0.09801411563619684
Eagles,0.0960367944091141
Facebook,0.025225225225225224
Flu,0.07142857142857142
Graduation,0.0576036866359447
Grammys,0.04624505928853755
Iphone,0.05485367023828562
Kobe,0.025232352263480466
McDonalds,0.034848484848484844
NBA,0.05321869488536155
NYC,0.04509803921568628
Netflix,0.12955139071643926
Obama,0.0891089108910891
Paris,0.05891261547781311
Patriots,0.07795493906605018
Seahawks,0.07961098984019188
Superbowl,0.01652892561983471
Thanksgiving,0.1328502415458937
VMA,0.013370567826013369
WWE,0.04129793510324483
Xbox,0.043478260869565216
