Topic,BARTScore
49ers,-1.2285605669021606
Amazon,-1.1319761276245117
Beyonce,-1.482858657836914
Chicago,-1.113328456878662
Christmas,-2.218625545501709
Eagles,-2.072714328765869
Facebook,-2.040944814682007
Flu,-2.469343662261963
Graduation,-2.830183267593384
Grammys,-1.475095510482788
Iphone,-1.1261898279190063
Kobe,-0.9498456716537476
McDonalds,-2.34256911277771
NBA,-1.7340089082717896
NYC,-2.632141590118408
Netflix,-0.9169445037841797
Obama,-0.7177831530570984
Paris,-2.982940435409546
Patriots,-1.637410283088684
Seahawks,-1.9144752025604248
Superbowl,-1.8645280599594116
Thanksgiving,-1.7419548034667969
VMA,-1.4308630228042603
WWE,-0.7869575619697571
Xbox,-0.8117759823799133
