Topic,BARTScore
49ers,-1.9348430633544922
Amazon,-1.4135535955429077
Beyonce,-1.6420226097106934
Chicago,-2.0714480876922607
Christmas,-1.0258095264434814
Eagles,-0.9610375165939331
Facebook,-0.5736201405525208
Flu,-2.619006633758545
Graduation,-3.186958074569702
Grammys,-1.7234508991241455
Iphone,-1.796235203742981
Kobe,-2.983745813369751
McDonalds,-1.25119948387146
NBA,-1.3952940702438354
NYC,-0.5824594497680664
Netflix,-2.031806707382202
Obama,-2.122427225112915
Paris,-0.9214318990707397
Patriots,-2.0786635875701904
Seahawks,-2.4990386962890625
Superbowl,-0.8954558968544006
Thanksgiving,-1.7334136962890625
VMA,-2.2327704429626465
WWE,-2.6620306968688965
Xbox,-2.5873332023620605
