Topic,SUPERT
49ers,0.5267225889712539
Amazon,0.5807306279950997
Beyonce,0.5471501454526884
Chicago,0.4379103172613368
Christmas,0.5891836472335987
Eagles,0.5087428426604678
Facebook,0.5985228937956897
Flu,0.4351915871739909
Graduation,0.5362651530000218
Grammys,0.4374997070707746
Iphone,0.5112922754831153
Kobe,0.5939342901098376
McDonalds,0.5511697536513498
NBA,0.5704176791452719
NYC,0.4437869626660287
Netflix,0.638755660349558
Obama,0.5066394815889761
Paris,0.6099170863418464
Patriots,0.455141995679822
Seahawks,0.5025847017841031
Superbowl,0.5114482258962427
Thanksgiving,0.5099909102796281
VMA,0.46350461906413326
WWE,0.6086637449293869
Xbox,0.6696012586770206
