Topic,SUPERT
49ers,0.5340097562055959
Amazon,0.5426598522503688
Beyonce,0.5349142776230119
Chicago,0.43099668257741147
Christmas,0.6086289167783536
Eagles,0.531262471806239
Facebook,0.6555012357301704
Flu,0.41726071242301604
Graduation,0.5989646459924497
Grammys,0.5074863249060131
Iphone,0.5570777907673004
Kobe,0.5575972974494126
McDonalds,0.5511697536513498
NBA,0.572822496317133
NYC,0.4847266953018376
Netflix,0.638755660349558
Obama,0.5119558338540106
Paris,0.6049348042419536
Patriots,0.4623293383967382
Seahawks,0.5118639621892634
Superbowl,0.5299161292183988
Thanksgiving,0.5318087566126369
VMA,0.4636308498806553
WWE,0.613450289492278
Xbox,0.6588605723985907
