Topic,SQA
49ers,0.12434175408455975
Amazon,0.032474683436221896
Beyonce,0.15065700122658796
Chicago,0.2134094293523088
Christmas,0.058199153393521635
Eagles,0.040222961570843464
Facebook,0.03571428571428571
Flu,0.03968253968253968
Graduation,0.04716981132075472
Grammys,0.014941731409544952
Iphone,0.08133333333333333
Kobe,0.051622418879056046
McDonalds,0.01249729261425168
NBA,0.11644535073784422
NYC,0.09988576013438852
Netflix,0.1224766081871345
Obama,0.13540381039009772
Paris,0.206329173645121
Patriots,0.08065399956523937
Seahawks,0.053893116445805085
Superbowl,0.024657534246575342
Thanksgiving,0.15833333333333333
VMA,0.001893939393939394
WWE,0.059251271400804106
Xbox,0.04273504273504273
