Topic,BARTScore
49ers,-2.593064785003662
Amazon,-2.1017065048217773
Beyonce,-1.8904978036880493
Chicago,-2.6748838424682617
Christmas,-2.6713767051696777
Eagles,-1.6148877143859863
Facebook,-1.1123034954071045
Flu,-2.8695931434631348
Graduation,-3.1291399002075195
Grammys,-0.9125733375549316
Iphone,-1.8115785121917725
Kobe,-2.920217752456665
McDonalds,-1.25119948387146
NBA,-1.4441089630126953
NYC,-0.7019065022468567
Netflix,-2.031806707382202
Obama,-2.700894832611084
Paris,-0.9705549478530884
Patriots,-1.55644690990448
Seahawks,-2.8466296195983887
Superbowl,-1.422300100326538
Thanksgiving,-2.1071906089782715
VMA,-2.254370927810669
WWE,-3.1088321208953857
Xbox,-2.485088586807251
