Topic,BARTScore
49ers,-1.2099138498306274
Amazon,-1.2984148263931274
Beyonce,-1.950387954711914
Chicago,-2.100635051727295
Christmas,-1.087928295135498
Eagles,-1.1541478633880615
Facebook,-1.620927333831787
Flu,-1.8086209297180176
Graduation,-2.3522918224334717
Grammys,-0.977026104927063
Iphone,-1.6117340326309204
Kobe,-0.7610176205635071
McDonalds,-1.8000396490097046
NBA,-0.8507634997367859
NYC,-2.148040294647217
Netflix,-0.6221259832382202
Obama,-1.0148624181747437
Paris,-1.086409568786621
Patriots,-2.3023605346679688
Seahawks,-1.930525302886963
Superbowl,-1.634680151939392
Thanksgiving,-3.737312078475952
VMA,-0.9949687123298645
WWE,-1.4211981296539307
Xbox,-1.2529171705245972
