Topic,Representation Gap
49ers,0.0
Amazon,0.6666666666666667
Beyonce,0.3333333333333333
Chicago,0.0
Christmas,0.6666666666666667
Eagles,0.6666666666666667
Facebook,0.3333333333333333
Flu,0.3333333333333333
Graduation,0.3333333333333333
Grammys,0.6666666666666667
Iphone,0.0
Kobe,0.0
McDonalds,0.6666666666666667
NBA,0.3333333333333333
NYC,0.3333333333333333
Netflix,0.3333333333333333
Obama,0.3333333333333333
Paris,0.0
Patriots,0.3333333333333333
Seahawks,0.6666666666666667
Superbowl,0.3333333333333333
Thanksgiving,0.3333333333333333
VMA,0.0
WWE,0.6666666666666667
Xbox,0.0
