Topic,BLANC-help,BLANC-tune
49ers,0.1592741935483871,0.12701612903225806
Amazon,0.17110266159695817,0.15779467680608364
Beyonce,0.17248062015503876,0.1298449612403101
Chicago,0.13148148148148148,0.1037037037037037
Christmas,0.11992619926199262,0.14206642066420663
Eagles,0.1624087591240876,0.09124087591240876
Facebook,0.12810707456978968,0.09560229445506692
Flu,0.10752688172043011,0.06630824372759857
Graduation,0.09715242881072027,0.07202680067001675
Grammys,0.18574108818011256,0.13696060037523453
Iphone,0.12401574803149606,0.1062992125984252
Kobe,0.1296928327645051,0.08703071672354949
McDonalds,0.13773584905660377,0.14528301886792452
NBA,0.08076923076923077,0.04807692307692308
NYC,0.09221311475409837,0.055327868852459015
Netflix,0.15510204081632653,0.15714285714285714
Obama,0.1447811447811448,0.1111111111111111
Paris,0.1318864774624374,0.12353923205342238
Patriots,0.20076481835564053,0.1491395793499044
Seahawks,0.15539305301645337,0.09506398537477148
Superbowl,0.16226415094339622,0.13018867924528302
Thanksgiving,0.10905730129390019,0.13123844731977818
VMA,0.05921052631578947,0.05263157894736842
WWE,0.09090909090909091,0.007905138339920948
Xbox,0.1189083820662768,0.10136452241715399
