Topic,BARTScore
49ers,-1.3167073726654053
Amazon,-1.716408610343933
Beyonce,-0.9326468706130981
Chicago,-0.7466203570365906
Christmas,-1.7188365459442139
Eagles,-0.8416875004768372
Facebook,-1.9482097625732422
Flu,-1.9977761507034302
Graduation,-2.394796848297119
Grammys,-1.4467836618423462
Iphone,-1.4088165760040283
Kobe,-2.3382961750030518
McDonalds,-1.2918479442596436
NBA,-0.5751237869262695
NYC,-1.4716790914535522
Netflix,-2.0778989791870117
Obama,-1.6066198348999023
Paris,-2.898526668548584
Patriots,-1.3268264532089233
Seahawks,-2.328019380569458
Superbowl,-1.437137484550476
Thanksgiving,-3.834378719329834
VMA,-1.8311413526535034
WWE,-1.2772612571716309
Xbox,-1.9159812927246094
