Topic,SUPERT
49ers,0.682913895788327
Amazon,0.615786405663113
Beyonce,0.6979621350481707
Chicago,0.670350013522078
Christmas,0.6090239562187014
Eagles,0.6341724908883316
Facebook,0.7725535796224664
Flu,0.41787433862636747
Graduation,0.6369765883287465
Grammys,0.5502366557382343
Iphone,0.5689015420039841
Kobe,0.6281533172365503
McDonalds,0.7454230992434412
NBA,0.696686901887523
NYC,0.6559879460792593
Netflix,0.6783572921107751
Obama,0.6528232300460596
Paris,0.6665717033205315
Patriots,0.6415619313187314
Seahawks,0.6213519115122049
Superbowl,0.619416898719047
Thanksgiving,0.6796266953787087
VMA,0.6220696632324871
WWE,0.614262113841031
Xbox,0.7197958295532753
