Topic,SQA
49ers,0.13034796446979255
Amazon,0.1460124683223679
Beyonce,0.07554537413019137
Chicago,0.09840013881658857
Christmas,0.10324050587622578
Eagles,0.06787994891443168
Facebook,0.034482758620689655
Flu,0.05660377358490566
Graduation,0.043421052631578944
Grammys,0.02608695652173913
Iphone,0.049939677808530265
Kobe,0.07644548937652386
McDonalds,0.01818181818181818
NBA,0.05846109255930674
NYC,0.12066318014910425
Netflix,0.16334805545331862
Obama,0.12295398911745554
Paris,0.08046829402272805
Patriots,0.1068237393115968
Seahawks,0.06392353653797497
Superbowl,0.012492563950029744
Thanksgiving,0.08212478056419305
VMA,0.04918079397234958
WWE,0.06870089192116736
Xbox,0.027973856209150327
