Topic,BARTScore
49ers,-1.0693074464797974
Amazon,-0.803350567817688
Beyonce,-0.4949750304222107
Chicago,-0.7452560663223267
Christmas,-1.1980947256088257
Eagles,-0.514764130115509
Facebook,-0.70361328125
Flu,-1.3906655311584473
Graduation,-0.7055780291557312
Grammys,-0.7021361589431763
Iphone,-1.372699499130249
Kobe,-0.4750373065471649
McDonalds,-0.7163499593734741
NBA,-0.8636524081230164
NYC,-0.6970028877258301
Netflix,-0.8970901370048523
Obama,-0.6183912754058838
Paris,-0.5711900591850281
Patriots,-0.48036766052246094
Seahawks,-0.9431884288787842
Superbowl,-0.5853602290153503
Thanksgiving,-0.8608754873275757
VMA,-0.6839986443519592
WWE,-1.8671613931655884
Xbox,-0.5633350014686584
