Topic,BLANC-help,BLANC-tune
49ers,0.13725490196078433,0.10784313725490197
Amazon,0.13043478260869565,0.16403162055335968
Beyonce,0.16760828625235405,0.10357815442561205
Chicago,0.11713286713286714,0.11013986013986014
Christmas,0.14534883720930233,0.17248062015503876
Eagles,0.15019011406844107,0.08365019011406843
Facebook,0.14367816091954022,0.16091954022988506
Flu,0.08333333333333333,0.031746031746031744
Graduation,0.09090909090909091,0.09090909090909091
Grammys,0.14087301587301587,0.10119047619047619
Iphone,0.14638783269961977,0.12737642585551331
Kobe,0.12408759124087591,0.09124087591240876
McDonalds,0.1402805611222445,0.15030060120240482
NBA,0.09618874773139746,0.038112522686025406
NYC,0.11320754716981132,0.07127882599580712
Netflix,0.18590998043052837,0.15459882583170254
Obama,0.11433756805807622,0.1088929219600726
Paris,0.12280701754385964,0.12456140350877193
Patriots,0.1297709923664122,0.11450381679389313
Seahawks,0.14821763602251406,0.09380863039399624
Superbowl,0.16955684007707128,0.1676300578034682
Thanksgiving,0.08333333333333333,0.13257575757575757
VMA,0.07391304347826087,0.043478260869565216
WWE,0.07692307692307693,-0.010395010395010396
Xbox,0.12524850894632206,0.15904572564612326
