Topic,BARTScore
49ers,-2.2136189937591553
Amazon,-1.9271039962768555
Beyonce,-1.7900569438934326
Chicago,-2.07242488861084
Christmas,-1.0430971384048462
Eagles,-0.7537004947662354
Facebook,-1.602817416191101
Flu,-1.0949937105178833
Graduation,-0.9138644933700562
Grammys,-1.8961951732635498
Iphone,-2.316802978515625
Kobe,-1.2141501903533936
McDonalds,-2.599616050720215
NBA,-3.7943625450134277
NYC,-2.454000473022461
Netflix,-2.1981847286224365
Obama,-1.5256896018981934
Paris,-2.3486602306365967
Patriots,-1.6287950277328491
Seahawks,-1.6451456546783447
Superbowl,-2.712585687637329
Thanksgiving,-1.6531355381011963
VMA,-1.4707077741622925
WWE,-2.0198705196380615
Xbox,-0.6562926173210144
