Topic,BARTScore
49ers,-1.825806975364685
Amazon,-0.8964259624481201
Beyonce,-2.9908323287963867
Chicago,-1.96560800075531
Christmas,-2.103477716445923
Eagles,-1.3965458869934082
Facebook,-0.8703110218048096
Flu,-1.6715350151062012
Graduation,-1.2008527517318726
Grammys,-1.6248648166656494
Iphone,-2.42502760887146
Kobe,-0.5978834629058838
McDonalds,-1.83639395236969
NBA,-2.0811827182769775
NYC,-1.6464017629623413
Netflix,-1.1251916885375977
Obama,-0.7649253606796265
Paris,-0.8351329565048218
Patriots,-1.9716098308563232
Seahawks,-1.875377893447876
Superbowl,-0.694983959197998
Thanksgiving,-1.0778924226760864
VMA,-2.53254771232605
WWE,-1.3189575672149658
Xbox,-1.2698291540145874
