Topic,SQA
49ers,0.14029793809454824
Amazon,0.21220890723153168
Beyonce,0.09373964362728406
Chicago,0.06061946902654867
Christmas,0.0876510832085745
Eagles,0.0866289412942557
Facebook,0.0
Flu,0.07547169811320754
Graduation,0.05701754385964912
Grammys,0.03297101449275362
Iphone,0.03747072599531616
Kobe,0.046514938602919005
McDonalds,0.0
NBA,0.1011136226227526
NYC,0.10361552028218694
Netflix,0.3101223276366024
Obama,0.029141855534807852
Paris,0.11743667855499128
Patriots,0.11668166925842956
Seahawks,0.044585561497326204
Superbowl,0.08223889931207004
Thanksgiving,0.10809555941134888
VMA,0.032890855457227135
WWE,0.03745210727969348
Xbox,0.03746031746031746
