Topic,SUPERT
49ers,0.5781198331602401
Amazon,0.5926690713460308
Beyonce,0.5268910699266726
Chicago,0.5920715112119762
Christmas,0.5571128423375397
Eagles,0.6216186396015821
Facebook,0.615761778193181
Flu,0.440836893440452
Graduation,0.5616184390787186
Grammys,0.5723174748842197
Iphone,0.5092762399645941
Kobe,0.636152077192214
McDonalds,0.6088262101466457
NBA,0.4937385873411943
NYC,0.4043474942814866
Netflix,0.5662632909431695
Obama,0.553168840714887
Paris,0.6104607979562526
Patriots,0.4861669316628181
Seahawks,0.5958251553288434
Superbowl,0.525887791924609
Thanksgiving,0.5855662107471155
VMA,0.41625092147640735
WWE,0.5542831406586562
Xbox,0.6581248731549202
