Topic,BARTScore
49ers,-1.8734606504440308
Amazon,-2.3567612171173096
Beyonce,-0.9057300090789795
Chicago,-0.89599609375
Christmas,-0.6696945428848267
Eagles,-1.6143399477005005
Facebook,-2.232074737548828
Flu,-1.1234307289123535
Graduation,-1.3365727663040161
Grammys,-2.090141773223877
Iphone,-1.650272011756897
Kobe,-1.4956475496292114
McDonalds,-2.3477120399475098
NBA,-1.7118732929229736
NYC,-2.860429286956787
Netflix,-2.5145716667175293
Obama,-1.6525052785873413
Paris,-2.544052839279175
Patriots,-2.7599496841430664
Seahawks,-0.704773485660553
Superbowl,-3.798424482345581
Thanksgiving,-2.5289041996002197
VMA,-2.4746761322021484
WWE,-2.8233983516693115
Xbox,-1.0939371585845947
