Topic,SUPERT
49ers,0.7113830312052354
Amazon,0.6668936626777583
Beyonce,0.7291908910554378
Chicago,0.7118351114824416
Christmas,0.6658868222181507
Eagles,0.6912564787334776
Facebook,0.7046344068126943
Flu,0.5915651752722075
Graduation,0.6363628732911821
Grammys,0.7226447414452623
Iphone,0.6362936475932376
Kobe,0.6357560239606326
McDonalds,0.7479610540276163
NBA,0.6496381274523255
NYC,0.6268755093607153
Netflix,0.630916601864373
Obama,0.6073926995783501
Paris,0.6919907435887113
Patriots,0.6768375671983271
Seahawks,0.6922017580727807
Superbowl,0.6214533698230444
Thanksgiving,0.6258903638493521
VMA,0.6865315749200098
WWE,0.6650319484960935
Xbox,0.6974909183817521
