Topic,SQA
49ers,0.08229402872260017
Amazon,0.13031674208144797
Beyonce,0.07264645598078559
Chicago,0.058647875628988703
Christmas,0.09767705153974043
Eagles,0.0637751786874594
Facebook,0.02702702702702703
Flu,0.023809523809523808
Graduation,0.016726403823178016
Grammys,0.03333333333333333
Iphone,0.006255580168623648
Kobe,0.08007950703479629
McDonalds,0.059876543209876544
NBA,0.04
NYC,0.038940651619702546
Netflix,0.23854869505677864
Obama,0.06898143918331451
Paris,0.054594232059020795
Patriots,0.06035442157018535
Seahawks,0.07157944325328375
Superbowl,0.02525252525252525
Thanksgiving,0.01865335274946259
VMA,0.03187251417449437
WWE,0.04719824944058094
Xbox,0.021739130434782608
