Topic,BARTScore
49ers,-0.42184558510780334
Amazon,-0.7780733108520508
Beyonce,-0.5365587472915649
Chicago,-0.6153520941734314
Christmas,-0.6291917562484741
Eagles,-0.4559382200241089
Facebook,-0.8240028619766235
Flu,-0.8975962400436401
Graduation,-0.8669993281364441
Grammys,-0.4907912313938141
Iphone,-0.561034619808197
Kobe,-0.5906822681427002
McDonalds,-0.49645698070526123
NBA,-0.6337619423866272
NYC,-0.5928974151611328
Netflix,-0.9301331043243408
Obama,-0.6811003684997559
Paris,-0.5489782094955444
Patriots,-0.6664040684700012
Seahawks,-0.6589240431785583
Superbowl,-0.4927815794944763
Thanksgiving,-0.8531270623207092
VMA,-0.6582422852516174
WWE,-0.7312606573104858
Xbox,-0.63465815782547
